Lemma,Soort,Standaard,Aangetroffen,URI
bandeliermaker,beroep,bandeliermaker,bandeliermaecker,https:/www.vondel.humanities.uva.nl/ecartico/occupations/927
bank,voorwerp,bank,banck,https://data.goldenagents.org/boedellexicon/voorwerp/bank
bank,voorwerp,banken,bancken,https://data.goldenagents.org/boedellexicon/voorwerp/bank
bank,voorwerp,bankje,banckje,https://data.goldenagents.org/boedellexicon/voorwerp/bank
bank,voorwerp,bankjes,,https://data.goldenagents.org/boedellexicon/voorwerp/bank
banket,voorwerp,banket,bancquet,https://data.goldenagents.org/boedellexicon/voorwerp/banket
banket,voorwerp,banket,banquet,https://data.goldenagents.org/boedellexicon/voorwerp/banket
banket,voorwerp,banket,banquett,https://data.goldenagents.org/boedellexicon/voorwerp/banket
banket,voorwerp,banketje,bancketge,https://data.goldenagents.org/boedellexicon/voorwerp/banket
banket,voorwerp,banketje,bancketje,https://data.goldenagents.org/boedellexicon/voorwerp/banket
banket,voorwerp,banketje,banckettjes,https://data.goldenagents.org/boedellexicon/voorwerp/banket
banket,voorwerp,banketje,bancquetge,https://data.goldenagents.org/boedellexicon/voorwerp/banket
banket,voorwerp,banketje,bancquettie,https://data.goldenagents.org/boedellexicon/voorwerp/banket
banket,voorwerp,banketje,bancquettien,https://data.goldenagents.org/boedellexicon/voorwerp/banket
banket,voorwerp,banketje,banketjen,https://data.goldenagents.org/boedellexicon/voorwerp/banket
banket,voorwerp,banketje,banquetgen,https://data.goldenagents.org/boedellexicon/voorwerp/banket
banket,voorwerp,banketjes,backetges,https://data.goldenagents.org/boedellexicon/voorwerp/banket
banket,voorwerp,banketten,,https://data.goldenagents.org/boedellexicon/voorwerp/banket
banketbakker,beroep,banketbakker,bancketbacker,https:/www.vondel.humanities.uva.nl/ecartico/occupations/503
banketbordje,voorwerp,banketbordje,,https://data.goldenagents.org/boedellexicon/voorwerp/banketbordje
banketbordje,voorwerp,banketbordjes,banketbordekens,https://data.goldenagents.org/boedellexicon/voorwerp/banketbordje
banketschilderij,voorwerp,banketschilderij,bancketschilderije,https://data.goldenagents.org/boedellexicon/voorwerp/banketschilderij
banketschilderij,voorwerp,banketschilderij,banquetschilderije,https://data.goldenagents.org/boedellexicon/voorwerp/banketschilderij
banketschilderij,voorwerp,banketschilderijen,,https://data.goldenagents.org/boedellexicon/voorwerp/banketschilderij
banketschilderij,voorwerp,banketschilderijtje,bancketschilderijtge,https://data.goldenagents.org/boedellexicon/voorwerp/banketschilderij
banketschilderij,voorwerp,banketschilderijtje,bancketschilderijtje,https://data.goldenagents.org/boedellexicon/voorwerp/banketschilderij
banketschilderij,voorwerp,banketschilderijtjes,,https://data.goldenagents.org/boedellexicon/voorwerp/banketschilderij
banketstuk,voorwerp,banketstuk,bancquetstuck,https://data.goldenagents.org/boedellexicon/voorwerp/banketstuk
banketstuk,voorwerp,banketstukje,,https://data.goldenagents.org/boedellexicon/voorwerp/banketstuk
banketstuk,voorwerp,banketstukjes,,https://data.goldenagents.org/boedellexicon/voorwerp/banketstuk
banketstuk,voorwerp,banketstukken,,https://data.goldenagents.org/boedellexicon/voorwerp/banketstuk
bankrijksdaalder,munt,bankrijksdaalder,,https://data.goldenagents.org/boedellexicon/munt/bankrijksdaalder
bankrijksdaalder,munt,bankrijksdaalders,bankrijcxdaelders,https://data.goldenagents.org/boedellexicon/munt/bankrijksdaalder
bankschroef,voorwerp,bankschroef,,https://data.goldenagents.org/boedellexicon/voorwerp/bankschroef
bankschroef,voorwerp,bankschroeven,bankschroeven,https://data.goldenagents.org/boedellexicon/voorwerp/bankschroef
barbier,beroep,barbier,,https:/www.vondel.humanities.uva.nl/ecartico/occupations/434
barbier,beroep,barbiers,,https:/www.vondel.humanities.uva.nl/ecartico/occupations/434
barnsteen,stofnaam,barnsteen,,https://data.goldenagents.org/boedellexicon/stofnaam/barnsteen
barnsteen,stofnaam,barnstenen,barnsteene,https://data.goldenagents.org/boedellexicon/stofnaam/barnsteen
barnsteen,stofnaam,barnstenen,barnsteenen,https://data.goldenagents.org/boedellexicon/stofnaam/barnsteen
batalje,voorwerp,batalje,bataelje,https://data.goldenagents.org/boedellexicon/voorwerp/batalje
batalje,voorwerp,batalje,batajlle,https://data.goldenagents.org/boedellexicon/voorwerp/batalje
batalje,voorwerp,batalje,batalie,https://data.goldenagents.org/boedellexicon/voorwerp/batalje
batalje,voorwerp,batalje,batalitien,https://data.goldenagents.org/boedellexicon/voorwerp/batalje
batalje,voorwerp,batalje,batalje,https://data.goldenagents.org/boedellexicon/voorwerp/batalje
batalje,voorwerp,batalje,battalie,https://data.goldenagents.org/boedellexicon/voorwerp/batalje
bataljes,voorwerp,bataljes,,https://data.goldenagents.org/boedellexicon/voorwerp/bataljes
bataljeschilderij,voorwerp,bataljeschilderij,batalieschilderij,https://data.goldenagents.org/boedellexicon/voorwerp/bataljeschilderij
bataljeschilderij,voorwerp,bataljeschilderijen,,https://data.goldenagents.org/boedellexicon/voorwerp/bataljeschilderij
bed,voorwerp,bed,bedde,https://data.goldenagents.org/boedellexicon/voorwerp/bed
bed,voorwerp,bed,bedt,https://data.goldenagents.org/boedellexicon/voorwerp/bed
bed,voorwerp,bedden,bedden,https://data.goldenagents.org/boedellexicon/voorwerp/bed
bed,voorwerp,bedje,beddetien,https://data.goldenagents.org/boedellexicon/voorwerp/bed
bed,voorwerp,bedje,beddetjen,https://data.goldenagents.org/boedellexicon/voorwerp/bed
bed,voorwerp,bedje,bedje,https://data.goldenagents.org/boedellexicon/voorwerp/bed
bed,voorwerp,bedje,bedtje,https://data.goldenagents.org/boedellexicon/voorwerp/bed
beddenkleed,voorwerp,beddenkleden,beddecleden,https://data.goldenagents.org/boedellexicon/voorwerp/beddenkleed
beddenkleed,voorwerp,beddenkleed,beddecleet,https://data.goldenagents.org/boedellexicon/voorwerp/beddenkleed
beddenkleed,voorwerp,beddenkleed,beddekleet,https://data.goldenagents.org/boedellexicon/voorwerp/beddenkleed
beddenlakens,voorwerp,beddenlakens,bedtlaeckens,https://data.goldenagents.org/boedellexicon/voorwerp/beddenlakens
beddenlakens,voorwerp,beddenlakens,beddelakens,https://data.goldenagents.org/boedellexicon/voorwerp/beddenlakens
beddenpan,voorwerp,beddenpan,beddepan,https://data.goldenagents.org/boedellexicon/voorwerp/beddenpan
beddenpan,voorwerp,beddenpan,bedpan,https://data.goldenagents.org/boedellexicon/voorwerp/beddenpan
beddenpan,voorwerp,beddenpan,bedtpan,https://data.goldenagents.org/boedellexicon/voorwerp/beddenpan
beddenpan,voorwerp,beddenpan,betpan,https://data.goldenagents.org/boedellexicon/voorwerp/beddenpan
beddenpan,voorwerp,beddenpannen,bedtpannen,https://data.goldenagents.org/boedellexicon/voorwerp/beddenpan
beddenpan,voorwerp,beddenpannetje,bedtpannetje,https://data.goldenagents.org/boedellexicon/voorwerp/beddenpan
beddenpan,voorwerp,beddenpannetjes,bedtpannetjes,https://data.goldenagents.org/boedellexicon/voorwerp/beddenpan
beddensprei,voorwerp,beddensprei,beddespree,https://data.goldenagents.org/boedellexicon/voorwerp/beddensprei
beddensprei,voorwerp,beddensprei,bedtspree,https://data.goldenagents.org/boedellexicon/voorwerp/beddensprei
beddensprei,voorwerp,beddenspreien,bedtspreeden,https://data.goldenagents.org/boedellexicon/voorwerp/beddensprei
beddensprei,voorwerp,beddenspreien,beddespreeden,https://data.goldenagents.org/boedellexicon/voorwerp/beddensprei
beddenzak,voorwerp,beddenzak,beddesack,https://data.goldenagents.org/boedellexicon/voorwerp/beddenzak
beddenzak,voorwerp,beddenzak,bedsak,https://data.goldenagents.org/boedellexicon/voorwerp/beddenzak
beddenzak,voorwerp,beddenzakken,beddesakken,https://data.goldenagents.org/boedellexicon/voorwerp/beddenzak
bedstee,vertrek,bedstee,bedstede,https://data.goldenagents.org/boedellexicon/vertrek/bedstee
bedstee,vertrek,bedstee,bedstee,https://data.goldenagents.org/boedellexicon/vertrek/bedstee
beeld,voorwerp,beeld,beeld,https://data.goldenagents.org/boedellexicon/voorwerp/beeld
beeld,voorwerp,beeld,beeldt,https://data.goldenagents.org/boedellexicon/voorwerp/beeld
beeld,voorwerp,beeld,beelt,https://data.goldenagents.org/boedellexicon/voorwerp/beeld
beeld,voorwerp,beelden,beelden,https://data.goldenagents.org/boedellexicon/voorwerp/beeld
