Standaard,Aangetroffen
eikenhouten,Eeckenhoute
eiken,Eeken
eenhoornskussens,Eenhoornskussens
etenskastje,eetenskasje
effigies,effigies
Egypte,Egipten
Egyptische,Egiptische
eiken,eijcke
eiken,eijcken
eierlepeltjes,Eijcklepeltjens
eierbordje,Eijerbortje
eierlepeltje,Eijerlepeltje
eierpannetje,Eijerpannetje
eierrekje,Eijerrackje
eindje,eintjen
Elias,Elias
Elisabeth,Elisabeth
elisabethen,Elisabetten
Emaus,Emaus
emmers,Emmers
emmertje,Emmertje
engels,engels
engelbeeldjes,Engelsbeeldekens
Engelse,Engelsche
eendvogel,Entvogel
,Ertkan
,Erttkan
erf,Erve
erven,erven
essetjes,essentjes
Esther,Esther
Europa,Europa
Eva,Eva
evangelistenbordjes,evangelistbortjes
evangelisten,Evangelisten
Ecce Homo,Exe homo
eiermandje,Eyermantien
feiteltjes,Feijteltjens
felp,felp
festoen,Festoon
fatsoen,fatsoen
figuur,Figuer
figuren,Figuren
fijn,fijn
fijne,fijne
festoen,Fiston
flepjes,Flepjens
fleppen,Fleppen
fles,Fles
fles,Flesch
flesjes,Fleschjens
flesje,Flesjen
flesjes,Flesjens
flessen,Flesschen
fles,flesse
flessen,Flessen
flesjes,Flessjens
floret,florette
floretten,floretten
fluweel,flueel
fluiten,Fluijten
folio,Folio
Fontain,Fontain
Fontaine,Fontaine
fonteintje,fonteijntie
fontanelplaatje,Fontenelplaetje
formaat,Formaet
vormen,Formen
forketstok,forquetstock
forketstokken,forquetstocken
Franse,France
van Franciscus,Francisci 
Franciscus,Franciscus
fruitage,Fruijtage
fruitage,Fruijtagie
fruitage / fruitages,Fruijtagien
fruitages,fruijtasjes
fruitage,Fruijtatsie
fruitbakje,fruijtbackje
fruitmand,Fruijtmant
fruitmandje,Fruijtmantje
fruitschaal,Fruijtschael
fruitschalen,Fruijtschalen
fruitage,fruitagie 
fruitmand,Fruitmandt
fruitage,Frutage
fruitage,frutagie
fruitage,Fruytage
fruitageschilderij,Fruytageschilderij
fruitage,Fruytagie
fruitje,fruytien
fruitmandjes,Fruytmantiens
fruitmandje,Fruytmantje
fruitschaal,Fruytschael
fruitschoteltje,fruytschoteltge
fruitage,Fruyttage
fruitage,Fruyttagie
garen,gaeren
gaffel,Gaffel
galanterie,galanterie
gang,ganck
ganzenoog,gansenoogh
gordijnen,Gardijen
gordijnen,gardijnen
gordijnroeden,Gardijnsroeijen
gordijntjes,Gardijntjens
garen,Garen
Garamont,Garmont
gebakken,Gebacken
gebedenboekjes,gebeedeboeckjens
gebergte,Geberchte
geborduurd,geberduurt
gebergte,Gebergte
gebloemde,geblomde
beboetseerd,Geboetseert
geborduurd,geborduijrt
geborduurde,Geborduurde
geborduurd,Geborduurt
geborduurd,gebourdeurt
gebouwtjes,Gebouwtjens
gebroken,Gebroken
gebroken,gebroocken
gebroken,Gebrooken
gek,Geck
gekleurde,Gecouleurde
gedoodverfd,Gedootvert
gedreven,Gedreve
gedrukte,gedruckte
gekarteld,Gekartelt
geconterfeit,gekonterfeijdt
geld,Gelt
geldkist,Geltkist
gemeenschap,gemeenschap
genaaid,genaeijt
genaaide,Genayde
gepolijste,gepolijste
gepossideert,gepossideert
gereedschap,Gereetschap
gereedschappen,Gereetschappen
gerfschaafjes,gerffschaeffjens
gerfschaven,gerffscharen
gescheurd,Gescheurt
geschilderde,Geschilderde
geschilder,Geschildert
geschut,Geschut
geseling,Geselinge
gezelschapjes,geselschapgens
gezelschapje,geselschapien
gezelschapje,Geselschapje
gezelschapjes,geselschapjes
gezelschapje,geselschappjen
geslepen,Geslepen
gesp,Gesp
gespen,Gespen
gestoken (geborduurd),gesteecken
getekende,geteeckende
getekend,Geteijckent
getekende,Getekende
geverfde,geverffde
gevest,Gevest
gevogelte,Gevogelt
gevogelte,Gevogelte
geweven,geweven
gewichtje,gewichijen
gewicht,gewicht
gouden / Gouda,Ghoude
gietvlessen,Gietvlessen
,Gissen
glazen,Glaasen
glaasjes,glaasjens
glazen,glaesen
glaasje,Glaesje
glaasjes,Glaesjens
glas,Glas
glasbordje,glasbortjes 
glazen,Glasen
glasgordijnen,Glasgardijnen
glasgordijnen,Glasgordijnen
glasgordijntjes,glasgordijnties
glasgordijntjes,glasgordijntjes
glasgordijntjes,glasguardijntjes
glaasje,Glasien
glaasjes,Glasiens
glaswerk,Glaswerk
godinnen,Goddinnen
goederen,goederen
goed,goet
goed,Goet
Goliath,Goliat
gordijnen,Gordijen
gordijn,Gordijn
gordijnen,Gordijnen
gordijnen,gordijnnen
gorgelet,Gorgelet
gouden / Gouda,goude
gouden,gouden
goudgewicht,Goudgewicht
goud,Gout
goudguldens,Goutguldens
goudleer,Goutleer
goudsmidsgereedschap,goutsmitgereetschap
goudsmid,goutsmith
grauw,Graeu
grauwtje,graeutje
grauwtje,graeutjen
grauw stukje,Graeuw stuckje
grauwe,Graeuwe
graf,Graff
granaten,Granate
Granida,Granida
grauwtje,grautien
grauw,grauw
groen,groen
groene,groene
grof,groff
grofgreinen,groffgrijnen
grofgreinen,Grogreijnen
groot,groot
grote,groote
grote jacht,Groote jacht
grauw,grouw
gruis / Gruijs / kruis,gruijs
gordijnen,Guardijnen
gulden,gulden
guldens,Guldens
haakjes,haackijens
haak,Haak
haken,Haaken
haard,haart
haardijzer,Haartijser
haardsetje,haartsetjen
hakmes,Hackmes
hakmessen,hackmessen
haak,Haeck
haardijzer,Haertijser
haardplaatje,Haertplaetje
haardschutje,Haertschutje
Hagar,Hagar
Hagar,Hager
haarnaald,hairnaelt
halfmutsje,Halfmutsje
halsdoek,Halsdoeck
halsdoeken,Halsdoecken
halskussentje,Halskussentje
halsneusdoeken,Halsneusdoecken
halsje,Halssgen
halvemanen,halvemanen
Harman / Haman / Hanau,Haman
hamers,Hamers
hammetje,Hammetje
mannenhemden,Hamshembden
handblaker,Handblaecker
handblakers,Handblaeckers
handmouwen,Handmouwen
handdoeken,Handoeken
handbekertje,Handtbeckertje
handdoek,Handtdoeck
handdoeken,Handtdoecken
handdoekjes,Handtdoeckjens
handschoenen,Handtschoenen
hangende,hangende
hang,hangh
hangblaker,Hanghblaecker
hangijzer,Hanghijser
hangtrezoor,Hanghtresoor
hangijzer,Hangijser
handdoeken,Hantdoecken
handdoeken,Hantdoeken
handvesten,Hantfesten
handzagen,hantsagen
handschoenen,Hantschoenen
handschoentjes,hantschoentjes
herder,Harder
herderin,Harderin
herderin,harderinne
herderinnen,harderinnen
herdersbeeldje,hardersbeeldeken
herdersgewaad,hardersgewaadt
haarmutsje,harenmutzjen
haspels,Haspels
heften,Hechten
haardijzer,Heertijser
heften,Heften
hellebaard,Hellebaerd
hemden,hembden
hemd,Hembdt
hemdrok,Hembtrock
hemden,Hemden
hemd,Hemdt
hemelvaart,Hemelvaert
hemd,hemt
hemdrokken,Hemtrocken
hengsel,Henghsel
hengsel,Hengsel
hengsels,hengsels
Heracliet,Heracliedt 
Hercules,Hercules
herder,Herder
heugel,Heugel
Hiëronymus,Hieromymus
historie,Historie
historiën,Historien
historieschilderij,Historieschilderij
historieschilderijen,historieschilderijen
historieschilderijtje,Historieschilderijtje 
historieschilderij,historieschildery
historieschilderijtje,Historyschilderijtje
hoed,Hoed
hoeden,Hoeden
hoed,Hoedt
hoedband,hoedtbandt
hoenderkooi,Hoenderkouw
hoep,Hoep
hoepelrokken,Hoepelrokken
hoepje,hoepje
hoepring,hoepring
hoepringetjes,hoepringetjes
hoepring,Hoepringh
hoed,Hoet
hooi / Hoij / Hooij / Roij / Rooij,Hoij
Holefernes,Holefernes
Holefernes,Holoserius
hondenhok,Hondehock
hondje,Hontje
hoofden,Hooffden
hoofd,hooft
hoofdkussen,Hooftkussen
hoofdkussens,Hooftkussens
hoofdkussentjes,Hooftkussentjens
Hoornse,Hoornse
horloge,Horalogie
horentjes,Horentjens
horloge,Horloge
horloge,Horologie
horloges,horologies
hout,Hout
houtbakken,Houtbacken
houtskool,Houtcool
houten,Houte
houtskolen,Houtekoolen
zoutstelletje,houtstelletje
houtwerk,Houtwerck
houtwerk,Houwerk
heugeltje,huegeltie
huik,Huijck
huiken,Huijcken
huifjes,Huijffjens
huik,huijk
huiken,Huijken
kuipje,Huijmpje
kuipje,huijpje
kuipjes,huijpjes
huis,Huijs
huisboek,Huijsboeck
huizen,Huijsen
huiven,Huijven
hulletjes,Hulletjens
huurcedul,Huurcedull
huik,Huyke
ijzer,IJser
ijzeren,Ijsere
ijzerpothengsel,IJserpothenghsel
ijzers,Ijsers
ijzerwerk,Ijserwerck
ivoren,IJvore
ijzer,IJzer
ijzerdraad,IJzerdraat
ijzers,IJzers
inktpot,Inckpott
inktkoker,Incktkoker
ingelegd,Ingeleijt
inktpot,Inktpot
inlandsvaartje,Inlantsvaertje
innocent,Innocent
innocenten,Innocenten
innocentrok,innocentrock
instrumenten,Instrumenten
Isaac,Isaac
ijzerwerk,iserwerck
Italiaanse,Italaniaense
Italiaanse,Italiaanse
Italiaans,Italiaens
Italiaanse,Italiaense
Italiaanse,Italianse
jacht,Jacht
jachtje,Jachtge
jak,Jack
jakje,Jackgen
jakje,jackje
Jacob,Jacob
Jacobus,Jacobus
Jacobus,Jacobus
jacobussen,Jacobussen
jager,Jager
jakken,Jakken
Jan,Jan
Japans,Japans
Japanse,Japanse
