Hr.	26342		26342	0.00035271	ngram	1	0.000364462
naem	26283		26283	0.00035192	ngram	1	0.000363646
Testatrice	25951		25951	0.000347475	ngram	1	0.000359052
vorderen	25899		25899	0.000346778	ngram	1	0.000358333
ontrent	25893		25893	0.000346698	ngram	1	0.00035825
my	25656		25656	0.000343525	ngram	1	0.000354971
stellen	25636		25636	0.000343257	ngram	1	0.000354694
meer	25463		25463	0.00034094	ngram	1	0.000352301
n	25396		25396	0.000340043	ngram	1	0.000351374
gl	25287		25287	0.000338584	ngram	1	0.000349865
Comparanten	25224		25224	0.00033774	ngram	1	0.000348994
acht	25055		25055	0.000335477	ngram	1	0.000346656
Jacobus	24996		24996	0.000334687	ngram	1	0.000345839
leven	24882		24882	0.000333161	ngram	1	0.000344262
alleen	24838		24838	0.000332572	ngram	1	0.000343653
Testateuren	24831		24831	0.000332478	ngram	1	0.000343556
no.	24788		24788	0.000331902	ngram	1	0.000342961
testament	24670		24670	0.000330322	ngram	1	0.000341329
Hermanus	24581		24581	0.000329131	ngram	1	0.000340097
Jans	24580		24580	0.000329117	ngram	1	0.000340084
goede	24541		24541	0.000328595	ngram	1	0.000339544
nogh	24515		24515	0.000328247	ngram	1	0.000339184
hiertoe	24472		24472	0.000327671	ngram	1	0.000338589
wede	24362		24362	0.000326198	ngram	1	0.000337067
comparant	24358		24358	0.000326145	ngram	1	0.000337012
Henrick	24241		24241	0.000324578	ngram	1	0.000335393
synde	24193		24193	0.000323936	ngram	1	0.000334729
Comp	24089		24089	0.000322543	ngram	1	0.00033329
oude	24085		24085	0.000322489	ngram	1	0.000333235
bekende	24056		24056	0.000322101	ngram	1	0.000332834
uyt	24046		24046	0.000321967	ngram	1	0.000332695
staande	23943		23943	0.000320588	ngram	1	0.00033127
A	23942		23942	0.000320575	ngram	1	0.000331256
dochter	23941		23941	0.000320561	ngram	1	0.000331242
Steede	23817		23817	0.000318901	ngram	1	0.000329527
16	23785		23785	0.000318473	ngram	1	0.000329084
9	23661		23661	0.000316812	ngram	1	0.000327368
gedaan	23584		23584	0.000315781	ngram	1	0.000326303
Anna	23569		23569	0.00031558	ngram	1	0.000326096
